temperature,date,mois,wind_dire,wind_speed,id
20,"2018-04-01 11:00:00",43,从西方吹来的风,3,336
11,"2018-04-01 08:00:00",93,从西南偏西方向吹来的风,2,337
12,"2018-04-01 05:00:00",84,无风,0,338
13,"2018-04-01 02:00:00",75,从西南方吹来的风,1,339
20,"2018-03-31 20:00:00",35,从西南偏南方向吹来的风,4,340
15,"2018-03-31 23:00:00",57,从东南偏南方向吹来的风,1,341
12,"2018-03-31 08:00:00",72,从北方吹来的风,1,342
24,"2018-03-31 17:00:00",24,从南方吹来的风,4,343
23,"2018-03-31 14:00:00",24,从西方吹来的风,4,344
13,"2018-03-31 05:00:00",66,从西南偏西方向吹来的风,3,345
20,"2018-03-31 11:00:00",41,从西南偏南方向吹来的风,5,346
20,"2018-03-30 20:00:00",38,从西南偏南方向吹来的风,3,347
16,"2018-03-30 23:00:00",54,从西南方吹来的风,2,348
14,"2018-03-31 02:00:00",62,从西南偏西方向吹来的风,2,349
23,"2018-03-30 14:00:00",29,从西南偏西方向吹来的风,6,350
23,"2018-03-30 17:00:00",33,从西方吹来的风,2,351
8,"2018-03-30 05:00:00",92,从东方吹来的风,1,352
10,"2018-03-30 08:00:00",94,从西北偏北方向吹来的风,1,353
19,"2018-03-30 11:00:00",41,从西南方吹来的风,3,354
13,"2018-03-30 02:00:00",65,从西南偏西方向吹来的风,2,355
13,"2018-03-29 23:00:00",60,从东南偏南方向吹来的风,1,356
19,"2018-03-29 20:00:00",28,从西南方吹来的风,2,357
23,"2018-03-29 17:00:00",32,从西南偏南方向吹来的风,2,358
22,"2018-03-29 14:00:00",39,从南方吹来的风,2,359
9,"2018-03-29 05:00:00",87,从东北偏北方向吹来的风,1,360
9,"2018-03-29 08:00:00",96,无风,0,361
18,"2018-03-29 11:00:00",56,从西南偏南方向吹来的风,3,362
10,"2018-03-28 23:00:00",91,无风,0,363
11,"2018-03-28 20:00:00",84,从西方吹来的风,1,364
10,"2018-03-29 02:00:00",93,从西方吹来的风,2,365
16,"2018-03-28 17:00:00",63,从东北方吹来的风,3,366
16,"2018-03-28 14:00:00",62,从南方吹来的风,3,367
15,"2018-03-28 11:00:00",67,从西南偏南方向吹来的风,2,368
